2014-04-26 13:17:18 HKT 日志:  数据库上次关闭时间为 2014-04-26 13:16:59 HKT
2014-04-26 13:17:19 HKT 日志:  已启动autovacuum
2014-04-26 13:17:19 HKT 日志:  数据库系统准备接受连接
2014-04-26 13:50:07 HKT 致命错误:  数据库 "mysite" 不存在
2014-04-26 13:52:27 HKT 鏃ュ織:  鏃犳硶浠庡鎴风鑾峰緱鏁版嵁: No connection could be made because the target machine actively refused it.
	
2014-04-26 18:36:50 HKT 日志:  接收到快速 (fast) 停止请求
2014-04-26 18:36:50 HKT 日志:  中断任何激活事务
2014-04-26 18:36:51 HKT 日志:  正在关闭autovacuum启动进程
2014-04-26 18:36:51 HKT 日志:  正在关闭
2014-04-26 18:36:52 HKT 日志:  数据库系统已关闭
