2014-09-18 07:37:59 HKT 致命错误:  数据库系统启动中
2014-09-18 07:37:59 HKT 日志:  数据库上次关闭时间为 2014-09-17 18:22:16 HKT
2014-09-18 07:37:59 HKT 日志:  数据库系统准备接受连接
2014-09-18 07:37:59 HKT 日志:  已启动autovacuum
2014-09-18 08:39:22 HKT 警告:  worker took too long to start; canceled
2014-09-18 08:39:26 HKT 警告:  autovacuum worker started without a worker entry
2014-09-18 18:13:13 HKT 日志:  接收到快速 (fast) 停止请求
2014-09-18 18:13:13 HKT 日志:  中断任何激活事务
2014-09-18 18:13:13 HKT 日志:  正在关闭autovacuum启动进程
2014-09-18 18:13:20 HKT 日志:  正在关闭
2014-09-18 18:13:21 HKT 日志:  数据库系统已关闭
