2014-11-24 08:02:58 HKT 致命错误:  数据库系统启动中
2014-11-24 08:02:58 HKT 日志:  数据库上次关闭时间为 2014-11-22 17:35:23 HKT
2014-11-24 08:02:58 HKT 日志:  数据库系统准备接受连接
2014-11-24 08:02:58 HKT 日志:  已启动autovacuum
2014-11-24 08:06:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:07:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:08:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:09:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:10:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:11:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:12:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:13:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:14:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:15:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:16:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:17:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:18:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:19:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:20:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:21:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:22:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:23:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:24:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:25:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:26:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:27:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:28:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:29:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:30:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:31:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:32:59 HKT 警告:  worker took too long to start; canceled
